[SYS] 2025/03/30 - 21:15:14 | New API v0.0.0 started 
[SYS] 2025/03/30 - 21:15:14 | using MySQL as database 
[SYS] 2025/03/30 - 21:15:14 | database migration started 
[SYS] 2025/03/30 - 21:15:15 | database migrated 
[SYS] 2025/03/30 - 21:15:15 | using MySQL as database 
[SYS] 2025/03/30 - 21:15:15 | database migration started 
[SYS] 2025/03/30 - 21:15:15 | Redis is enabled 
[SYS] 2025/03/30 - 21:15:15 | memory cache enabled 
[SYS] 2025/03/30 - 21:15:15 | sync frequency: 60 seconds 
[SYS] 2025/03/30 - 21:15:15 | channels synced from database 
[SYS] 2025/03/30 - 21:15:15 | batch update enabled with interval 5s 
[SYS] 2025/03/30 - 21:15:15 | pprof enabled 
[SYS] 2025/03/30 - 21:15:15 | initializing token encoders 
[SYS] 2025/03/30 - 21:15:15 | 正在更新数据看板数据... 
[SYS] 2025/03/30 - 21:15:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/30 - 21:15:15 | token encoders initialized 
[SYS] 2025/03/30 - 21:15:15 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/03/30 - 21:15:20 | batch update started 
[SYS] 2025/03/30 - 21:15:20 | batch update finished 
[SYS] 2025/03/30 - 21:15:25 | batch update started 
[SYS] 2025/03/30 - 21:15:25 | batch update finished 
[SYS] 2025/03/30 - 21:15:30 | 任务进度轮询开始 
[SYS] 2025/03/30 - 21:15:30 | batch update started 
[SYS] 2025/03/30 - 21:15:30 | batch update finished 
[SYS] 2025/03/30 - 21:15:30 | 任务进度轮询完成 
[GIN] 2025/03/30 - 21:15:39 | 20250330211539316299835avvTT9Z | 200 |     660.508µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:39 | 2025033021153931903200c4qJy5nM | 200 |     775.775µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:39 | 202503302115392919299580W1cPrtz | 200 |    1.211925ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:39 | 20250330211539291929958gWLlx3oj | 200 |    1.528367ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:39 | 2025033021153944521404228utktAB | 200 |      1.0673ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:39 | 20250330211539444986975qnHLgOUL | 200 |    1.398042ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:39 | 20250330211539445181650mG4DPXUz | 200 |    1.113125ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:39 | 20250330211539445068658UbFwetzZ | 200 |      1.5275ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:39 | 20250330211539708204475bCzp2EC5 | 200 |    1.361425ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:39 | 20250330211539708426125dW4UsgDO | 200 |    1.505833ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:39 | 20250330211539708628708mLYE5YLF | 200 |    1.568342ms |             ::1 |     GET /api/home_page_content
